ID;Organisation;Sector;Subsector;Service;Province_CODE;Municipality_CODE;Barangay;Status;Beneficiaries;Beneficiary_type;Place Name;Activity;Quantity;Unit;Start Date;End Date;Month;Region
763;ICRC;Health;Health;Health Care (BHCU);1035;103502;East Poblacion;Finished;63;individuals;BHCU;Provision of Health Care ;63;individuals;27-Jun-2017;27-Jun-2017;June;Region 10
780;ICRC;Health;Health;Health Care (BHCU);1035;103502;East Poblacion;Finished;58;individuals;BHCU;Provision of Health Care ;58;individuals;28-Jun-2017;28-Jun-2017;June;Region 10
812;ICRC;Health;Health;Health Care (BHCU);1035;103502;East Poblacion;Finished;66;individuals;BHCU;Provision of Health Care ;66;individuals;29-Jun-2017;29-Jun-2017;June;Region 10
846;ICRC;Health;Health;Health Care (BHCU);1035;103502;East Poblacion;Finished;48;individuals;BHCU;Provision of Health Care ;48;individuals;30-Jun-2017;30-Jun-2017;June;Region 10
873;ICRC;Health;Health;Health Care (BHCU);1035;103502;East Poblacion;Finished;61;individuals;BHCU;Provision of Health Care ;61;individuals;1-Jul-2017;1-Jul-2017;July;Region 10
900;ICRC;Health;Health;Health Care (BHCU);1035;103502;East Poblacion;Finished;80;individuals;BHCU;Provision of Health Care ;80;individuals;2-Jul-2017;2-Jul-2017;July;Region 10
938;ICRC;Health;Health;Health Care (BHCU);1035;103502;East Poblacion;Finished;128;individuals;BHCU;Provision of Health Care ;128;individuals;3-Jul-2017;3-Jul-2017;July;Region 10
966;ICRC;Health;Health;Health Care (BHCU);1035;103502;East Poblacion;Finished;147;individuals;BHCU;Provision of Health Care ;147;individuals;4-Jul-2017;4-Jul-2017;July;Region 10
977;ICRC;Health;Health;Health Care (BHCU);1035;103502;East Poblacion;Finished;115;individuals;BHCU;Provision of Health Care ;115;individuals;5-Jul-2017;5-Jul-2017;July;Region 10
1007;ICRC;Health;Health;Health Care (BHCU);1035;103502;East Poblacion;Finished;133;individuals;BHCU;Provision of Health Care ;133;individuals;6-Jul-2017;6-Jul-2017;July;Region 10
1036;ICRC;Health;Health;First Aid Station;1035;103502;West Poblacion;Finished;1;station;Gumampong D. Ali Cultural Center;Established First Aid Station;1;station;7-Jul-2017;7-Jul-2017;July;Region 10
1049;ICRC;Health;Health;Health Care (BHCU);1035;103502;East Poblacion;Finished;77;individuals;BHCU;Provision of Health Care ;77;individuals;7-Jul-2017;7-Jul-2017;July;Region 10
1058;ICRC;Health;Health;Health Care (BHCU);1035;103502;East Poblacion;Finished;68;individuals;BHCU;Provision of Health Care ;68;individuals;8-Jul-2017;8-Jul-2017;July;Region 10
1113;ICRC;Health;Health;Health Care (BHCU);1035;103502;East Poblacion;Finished;115;individuals;BHCU;Provision of Health Care ;115;individuals;10-Jul-2017;10-Jul-2017;July;Region 10
1139;ICRC;Health;Health;First Aid;1035;103502;East Poblacion;Finished;3;individuals;BHCU;First Aid Management;3;individuals;11-Jul-2017;11-Jul-2017;July;Region 10
1164;ICRC;Health;Health;Health Care (BHCU);1035;103502;East Poblacion;Finished;86;individuals;BHCU;Provision of Health Care ;86;individuals;12-Jul-2017;12-Jul-2017;July;Region 10
1201;ICRC;Health;Health;Health Care (BHCU);1035;103502;East Poblacion;Finished;130;individuals;BHCU;Provision of Health Care ;130;individuals;13-Jul-2017;13-Jul-2017;July;Region 10
1216;ICRC;Health;Health;Health Care (BHCU);1035;103502;East Poblacion;Finished;69;individuals;BHCU;Provision of Health Care ;69;individuals;14-Jul-2017;14-Jul-2017;July;Region 10
1244;ICRC;Health;Health;Health Care (BHCU);1035;103502;East Poblacion;Finished;71;individuals;BHCU;Provision of Health Care ;71;individuals;15-Jul-2017;15-Jul-2017;July;Region 10
1284;ICRC;Health;Health;Health Care (BHCU);1035;103502;East Poblacion;Finished;75;individuals;BHCU;Provision of Health Care ;75;individuals;17-Jul-2017;17-Jul-2017;July;Region 10
1313;ICRC;Health;Health;Health Care (BHCU);1035;103502;East Poblacion;Finished;78;individuals;BHCU;Provision of Health Care ;78;individuals;18-Jul-2017;18-Jul-2017;July;Region 10
1337;ICRC;Health;Health;Health Care (BHCU);1035;103502;East Poblacion;Finished;130;individuals;BHCU;Provision of Health Care ;130;individuals;19-Jul-2017;19-Jul-2017;July;Region 10
1366;ICRC;Health;Health;Health Care (BHCU);1035;103502;East Poblacion;Finished;105;individuals;BHCU;Provision of Health Care ;105;individuals;20-Jul-2017;20-Jul-2017;July;Region 10
1379;ICRC;Health;Health;Health Care (BHCU);1035;103502;East Poblacion;Finished;44;individuals;BHCU;Provision of Health Care ;44;individuals;21-Jul-2017;21-Jul-2017;July;Region 10
1385;ICRC;Health;Health;Health Care (BHCU);1035;103502;East Poblacion;Finished;35;individuals;BHCU;Provision of Health Care ;35;individuals;22-Jul-2017;22-Jul-2017;July;Region 10
1412;ICRC;Health;Health;Health Care (BHCU);1035;103502;East Poblacion;Finished;152;individuals;BHCU;Provision of Health Care ;152;individuals;25-Jul-2017;25-Jul-2017;July;Region 10
1439;ICRC;Health;Health;Health Care (BHCU);1035;103502;East Poblacion;Finished;98;individuals;BHCU;Provision of Health Care ;98;individuals;26-Jul-2017;26-Jul-2017;July;Region 10
1466;ICRC;Health;Health;Health Care (BHCU);1035;103502;East Poblacion;Finished;78;individuals;BHCU;Provision of Health Care ;78;individuals;27-Jul-2017;27-Jul-2017;July;Region 10
1487;ICRC;Health;Health;Health Care (BHCU);1035;103502;East Poblacion;Finished;69;individuals;BHCU;Provision of Health Care ;69;individuals;28-Jul-2017;28-Jul-2017;July;Region 10
1499;ICRC;Health;Health;Health Care (BHCU);1035;103502;East Poblacion;Finished;51;individuals;BHCU;Provision of Health Care ;51;individuals;29-Jul-2017;29-Jul-2017;July;Region 10
1523;ICRC;Health;Health;Health Care (BHCU);1035;103502;East Poblacion;Finished;107;individuals;BHCU;Provision of Health Care ;107;individuals;31-Jul-2017;31-Jul-2017;July;Region 10
1544;ICRC;Health;Health;Health Care (BHCU);1035;103502;East Poblacion;Finished;89;individuals;BHCU;Provision of Health Care ;89;individuals;1-Aug-2017;1-Aug-2017;August;Region 10
1564;ICRC;Health;Health;Health Care (BHCU);1035;103502;East Poblacion;Finished;71;individuals;BHCU;Provision of Health Care ;71;individuals;2-Aug-2017;2-Aug-2017;August;Region 10
1577;ICRC;Health;Health;Health Care (BHCU);1035;103502;East Poblacion;Finished;93;individuals;BHCU;Provision of Health Care ;93;individuals;3-Aug-2017;3-Aug-2017;August;Region 10
1600;ICRC;Health;Health;Health Care (BHCU);1035;103502;East Poblacion;Finished;89;individuals;BHCU;Provision of Health Care ;89;individuals;4-Aug-2017;4-Aug-2017;August;Region 10
1612;ICRC;Health;Health;Health Care (BHCU);1035;103502;East Poblacion;Finished;56;individuals;BHCU;Provision of Health Care ;56;individuals;5-Aug-2017;5-Aug-2017;August;Region 10
1639;ICRC;Health;Health;Health Care (BHCU);1035;103502;East Poblacion;Finished;106;individuals;BHCU;Provision of Health Care ;106;individuals;7-Aug-2017;7-Aug-2017;August;Region 10
1651;ICRC;Health;Health;Health Care (BHCU);1035;103502;East Poblacion;Finished;95;individuals;BHCU;Provision of Health Care ;95;individuals;8-Aug-2017;8-Aug-2017;August;Region 10
1662;ICRC;Health;Health;Health Care (BHCU);1035;103502;East Poblacion;Finished;54;individuals;BHCU;Provision of Health Care ;54;individuals;9-Aug-2017;9-Aug-2017;August;Region 10
1684;ICRC;Health;Health;Health Care (BHCU);1035;103502;East Poblacion;Finished;75;individuals;BHCU;Provision of Health Care ;75;individuals;10-Aug-2017;10-Aug-2017;August;Region 10
1706;ICRC;Health;Health;Health Care (BHCU);1035;103502;East Poblacion;Finished;77;individuals;BHCU;Provision of Health Care ;77;individuals;11-Aug-2017;11-Aug-2017;August;Region 10
1713;ICRC;Health;Health;Health Care (BHCU);1035;103502;East Poblacion;Finished;63;individuals;BHCU;Provision of Health Care ;63;individuals;12-Aug-2017;12-Aug-2017;August;Region 10
1737;ICRC;Health;Health;Health Care (BHCU);1035;103502;East Poblacion;Finished;43;individuals;BHCU;Provision of Health Care ;43;individuals;14-Aug-2017;14-Aug-2017;August;Region 10
1758;ICRC;Health;Health;Health Care (BHCU);1035;103502;East Poblacion;Finished;95;individuals;BHCU;Provision of Health Care ;95;individuals;15-Aug-2017;15-Aug-2017;August;Region 10
1780;ICRC;Health;Health;Health Care (BHCU);1035;103502;East Poblacion;Finished;52;individuals;BHCU;Provision of Health Care ;52;individuals;16-Aug-2017;16-Aug-2017;August;Region 10
1803;ICRC;Health;Health;Health Care (BHCU);1035;103502;East Poblacion;Finished;68;individuals;BHCU;Provision of Health Care ;68;individuals;17-Aug-2017;17-Aug-2017;August;Region 10
1834;ICRC;Health;Health;Health Care (BHCU);1035;103502;East Poblacion;Finished;112;individuals;BHCU;Provision of Health Care ;112;individuals;21-Aug-2017;21-Aug-2017;August;Region 10
1846;ICRC;Health;Health;Health Care (BHCU);1035;103502;East Poblacion;Finished;111;individuals;BHCU;Provision of Health Care ;111;individuals;22-Aug-2017;22-Aug-2017;August;Region 10
1862;ICRC;Health;Health;Health Care (BHCU);1035;103502;East Poblacion;Finished;102;individuals;BHCU;Provision of Health Care ;102;individuals;23-Aug-2017;23-Aug-2017;August;Region 10
1876;ICRC;Health;Health;Health Care (BHCU);1035;103502;East Poblacion;Finished;77;individuals;BHCU;Provision of Health Care ;77;individuals;24-Aug-2017;24-Aug-2017;August;Region 10
1894;ICRC;Health;Health;Health Care (BHCU);1035;103502;East Poblacion;Finished;61;individuals;BHCU;Provision of Health Care ;61;individuals;25-Aug-2017;25-Aug-2017;August;Region 10
1915;ICRC;Health;Health;Health Care (BHCU);1035;103502;East Poblacion;Finished;73;individuals;BHCU;Provision of Health Care ;73;individuals;28-Aug-2017;28-Aug-2017;August;Region 10
1922;ICRC;Health;Health;Health Care (BHCU);1035;103502;East Poblacion;Finished;76;individuals;BHCU;Provision of Health Care ;76;individuals;29-Aug-2017;29-Aug-2017;August;Region 10
1936;ICRC;Health;Health;Health Care (BHCU);1035;103502;East Poblacion;Finished;67;individuals;BHCU;Provision of Health Care ;67;individuals;30-Aug-2017;30-Aug-2017;August;Region 10
1958;ICRC;Health;Health;Health Care (BHCU);1035;103502;East Poblacion;Finished;60;individuals;BHCU;Provision of Health Care ;60;individuals;31-Aug-2017;31-Aug-2017;August;Region 10
1973;ICRC;Health;Health;Health Care (BHCU);1035;103502;East Poblacion;Finished;53;individuals;BHCU;Provision of Health Care ;53;individuals;2-Sep-2017;2-Sep-2017;September;Region 10
1992;ICRC;Health;Health;Health Care (BHCU);1035;103502;East Poblacion;Finished;79;individuals;BHCU;Provision of Health Care ;79;individuals;4-Sep-2017;4-Sep-2017;September;Region 10
2025;ICRC;Health;Health;Health Care (BHCU);1035;103502;East Poblacion;Finished;66;individuals;BHCU;Provision of Health Care ;66;individuals;6-Sep-2017;6-Sep-2017;September;Region 10
2036;ICRC;Health;Health;Health Care (BHCU);1035;103502;East Poblacion;Finished;63;individuals;BHCU;Provision of Health Care ;63;individuals;7-Sep-2017;7-Sep-2017;September;Region 10
2038;ICRC;Health;Health;BP Taking;1035;103502;West Poblacion;Finished;31;individuals;Al-Bironi;Blood Pressure Taking;31;individuals;7-Sep-2017;7-Sep-2017;September;Region 10
2050;ICRC;Health;Health;Health Care (BHCU);1035;103502;East Poblacion;Finished;41;individuals;BHCU;Provision of Health Care ;41;individuals;8-Sep-2017;8-Sep-2017;September;Region 10
2063;ICRC;Health;Health;Health Care (BHCU);1035;103502;East Poblacion;Finished;44;individuals;BHCU;Provision of Health Care ;44;individuals;9-Sep-2017;9-Sep-2017;September;Region 10
2082;ICRC;Health;Health;Health Care (BHCU);1035;103502;East Poblacion;Finished;47;individuals;BHCU;Provision of Health Care ;47;individuals;11-Sep-2017;11-Sep-2017;September;Region 10
2110;ICRC;Health;Health;Health Care (BHCU);1035;103502;East Poblacion;Finished;65;individuals;BHCU;Provision of Health Care ;65;individuals;13-Sep-2017;13-Sep-2017;September;Region 10
2128;ICRC;Health;Health;Health Care (BHCU);1035;103502;East Poblacion;Finished;58;individuals;BHCU;Provision of Health Care ;58;individuals;14-Sep-2017;14-Sep-2017;September;Region 10
2151;ICRC;Health;Health;Health Care (BHCU);1035;103502;East Poblacion;Finished;2;individuals;BHCU;Provision of Health Care ;2;individuals;15-Sep-2017;15-Sep-2017;September;Region 10
2157;ICRC;Health;Health;Health Care (BHCU);1035;103502;East Poblacion;Finished;66;individuals;BHCU;Provision of Health Care ;66;individuals;16-Sep-2017;16-Sep-2017;September;Region 10
2174;ICRC;Health;Health;Health Care (BHCU);1035;103502;East Poblacion;Finished;110;individuals;BHCU;Provision of Health Care ;110;individuals;18-Sep-2017;18-Sep-2017;September;Region 10
2190;ICRC;Health;Health;Health Care (BHCU);1035;103502;East Poblacion;Finished;65;individuals;BHCU;Provision of Health Care ;65;individuals;19-Sep-2017;19-Sep-2017;September;Region 10
2209;ICRC;Health;Health;Health Care (BHCU);1035;103502;East Poblacion;Finished;73;individuals;BHCU;Provision of Health Care ;73;individuals;20-Sep-2017;20-Sep-2017;September;Region 10
2226;ICRC;Health;Health;Health Care (BHCU);1035;103502;East Poblacion;Finished;53;individuals;BHCU;Provision of Health Care ;53;individuals;21-Sep-2017;21-Sep-2017;September;Region 10
2267;ICRC;Health;Health;Health Care (BHCU);1035;103502;East Poblacion;Finished;54;individuals;BHCU;Provision of Health Care ;54;individuals;25-Sep-2017;25-Sep-2017;September;Region 10
2284;ICRC;Health;Health;Health Care (BHCU);1035;103502;East Poblacion;Finished;25;individuals;BHCU;Provision of Health Care ;25;individuals;26-Sep-2017;26-Sep-2017;September;Region 10
2301;ICRC;Health;Health;Health Care (BHCU);1035;103502;East Poblacion;Finished;35;individuals;BHCU;Provision of Health Care ;35;individuals;27-Sep-2017;27-Sep-2017;September;Region 10
2316;ICRC;Health;Health;Health Care (BHCU);1035;103502;East Poblacion;Finished;30;individuals;BHCU;Provision of Health Care ;30;individuals;28-Sep-2017;28-Sep-2017;September;Region 10
2335;ICRC;Health;Health;Health Care (BHCU);1035;103502;East Poblacion;Finished;23;individuals;BHCU;Provision of Health Care ;23;individuals;30-Sep-2017;30-Sep-2017;September;Region 10
2354;ICRC;Health;Health;Health Care (BHCU);1035;103502;East Poblacion;Finished;40;individuals;BHCU;Provision of Health Care ;40;individuals;2-Oct-2017;2-Oct-2017;October;Region 10
2373;ICRC;Health;Health;Health Care (BHCU);1035;103502;East Poblacion;Finished;37;individuals;BHCU;Provision of Health Care ;37;individuals;3-Oct-2017;3-Oct-2017;October;Region 10
2390;ICRC;Health;Health;Health Care (BHCU);1035;103502;East Poblacion;Finished;57;individuals;BHCU;Provision of Health Care ;57;individuals;4-Oct-2017;4-Oct-2017;October;Region 10
2415;ICRC;Health;Health;Health Care (BHCU);1035;103502;East Poblacion;Finished;40;individuals;BHCU;Provision of Health Care ;40;individuals;5-Oct-2017;5-Oct-2017;October;Region 10
2433;ICRC;Health;Health;Health Care (BHCU);1035;103502;East Poblacion;Finished;29;individuals;BHCU;Provision of Health Care ;29;individuals;6-Oct-2017;6-Oct-2017;October;Region 10
2442;ICRC;Health;Health;Health Care (BHCU);1035;103502;East Poblacion;Finished;23;individuals;BHCU;Provision of Health Care ;23;individuals;7-Oct-2017;7-Oct-2017;October;Region 10
2472;ICRC;Health;Health;Health Care (BHCU);1035;103502;East Poblacion;Finished;51;individuals;BHCU;Provision of Health Care ;51;individuals;9-Oct-2017;9-Oct-2017;October;Region 10
2495;ICRC;Health;Health;Health Care (BHCU);1035;103502;East Poblacion;Finished;38;individuals;BHCU;Provision of Health Care ;38;individuals;10-Oct-2017;10-Oct-2017;October;Region 10
2515;ICRC;Health;Health;Health Care (BHCU);1035;103502;East Poblacion;Finished;23;individuals;BHCU;Provision of Health Care ;23;individuals;11-Oct-2017;11-Oct-2017;October;Region 10
2531;ICRC;Health;Health;Health Care (BHCU);1035;103502;East Poblacion;Finished;47;individuals;BHCU;Provision of Health Care ;47;individuals;12-Oct-2017;12-Oct-2017;October;Region 10
2546;ICRC;Health;Health;Health Care (BHCU);1035;103502;East Poblacion;Finished;23;individuals;BHCU;Provision of Health Care ;23;individuals;13-Oct-2017;13-Oct-2017;October;Region 10
2581;ICRC;Health;Health;Health Care (BHCU);1035;103502;East Poblacion;Finished;50;individuals;BHCU;Provision of Health Care ;50;individuals;16-Oct-2017;16-Oct-2017;October;Region 10
2601;ICRC;Health;Health;Health Care (BHCU);1035;103502;East Poblacion;Finished;47;individuals;BHCU;Provision of Health Care ;47;individuals;17-Oct-2017;17-Oct-2017;October;Region 10
2622;ICRC;Health;Health;Health Care (BHCU);1035;103502;East Poblacion;Finished;47;individuals;BHCU;Provision of Health Care ;47;individuals;18-Oct-2017;18-Oct-2017;October;Region 10
2638;ICRC;Health;Health;Health Care (BHCU);1035;103502;East Poblacion;Finished;41;individuals;BHCU;Provision of Health Care ;41;individuals;19-Oct-2017;19-Oct-2017;October;Region 10
2655;ICRC;Health;Health;Health Care (BHCU);1035;103502;East Poblacion;Finished;30;individuals;BHCU;Provision of Health Care ;30;individuals;20-Oct-2017;20-Oct-2017;October;Region 10
2679;ICRC;Health;Health;Health Care (BHCU);1035;103502;East Poblacion;Finished;16;individuals;BHCU;Provision of Health Care ;16;individuals;23-Oct-2017;23-Oct-2017;October;Region 10
2691;ICRC;Health;Health;Health Care (BHCU);1035;103502;East Poblacion;Finished;46;individuals;BHCU;Provision of Health Care ;46;individuals;24-Oct-2017;24-Oct-2017;October;Region 10
2706;ICRC;Health;health;Health Care (BHCU);1035;103502;East Poblacion;Finished;36;individuals;BHCU;Provision of Health Care ;36;individuals;25-Oct-2017;25-Oct-2017;October;Region 10
2722;ICRC;Health;health;Health Care (BHCU);1035;103502;East Poblacion;Finished;46;individuals;BHCU;Provision of Health Care ;46;individuals;26-Oct-2017;26-Oct-2017;October;Region 10
2739;ICRC;Health;Health;Health Care (BHCU);1035;103502;East Poblacion;Finished;29;individuals;BHCU;Provision of Health Care ;29;individuals;27-Oct-2017;27-Oct-2017;October;Region 10
2756;ICRC;Health;Health;Health Care (BHCU);1035;103502;East Poblacion;Finished;53;individuals;BHCU;Provision of Health Care ;53;individuals;30-Oct-2017;30-Oct-2017;October;Region 10
2775;ICRC;Health;Health;Health Care (BHCU);1035;103502;East Poblacion;Finished;45;individuals;BHCU;Provision of Health Care ;45;individuals;31-Oct-2017;31-Oct-2017;October;Region 10
2824;ICRC;Health;Health;Health Care (BHCU);1035;103502;East Poblacion;Finished;29;individuals;BHCU;Provision of Health Care ;29;individuals;3-Nov-2017;3-Nov-2017;November;Region 10
2914;ICRC;Health;health;Health Care (BHCU);1035;103502;East Poblacion;Finished;58;individuals;BHCU;Provision of Health Care;58;individuals;6-Nov-2017;6-Nov-2017;November;Region 10
2985;ICRC;Health;Health;Health Care (BHCU);1035;103502;East Poblacion;Finished;17;individuals;BHCU;Provision of Health Care;17;individuals;7-Nov-2017;7-Nov-2017;November;Region 10
3123;ICRC;Health;Health;Health Care (BHCU);1035;103502;East Poblacion;Finished;49;individuals;BHCU;Provision of Health Care;49;individuals;14-Nov-2017;14-Nov-2017;November;Region 10
3125;ICRC;Health;Health;Health Referral;1035;103502;East Poblacion;Finished;2;individuals;BHCU;Health Referral;2;individuals;14-Nov-2017;14-Nov-2017;November;Region 10
3200;ICRC;Health;Health;Health Referral;1035;103502;East Poblacion;Finished;2;individuals;BHCU;Health Referral;2;individuals;17-Nov-2017;17-Nov-2017;November;Region 10
109;ICRC;Health;Referral;Health Referral;1035;103502;East Poblacion;Finished;9;individuals;BHCU;Health Referral;9;individuals;1-Jun-2017;1-Jun-2017;June;Region 10
128;ICRC;Health;Referral;Health Referral;1035;103502;East Poblacion;Finished;15;individuals;BHCU;Health Referral;15;individuals;2-Jun-2017;2-Jun-2017;June;Region 10
161;ICRC;Health;Referral;Health Referral;1035;103502;East Poblacion;Finished;2;individuals;BHCU;Health Referral;2;individuals;3-Jun-2017;3-Jun-2017;June;Region 10
197;ICRC;Health;Referral;Health Referral;1035;103502;East Poblacion;Finished;3;individuals;BHCU;Health Referral;3;individuals;5-Jun-2017;5-Jun-2017;June;Region 10
280;ICRC;Health;Referral;Health Referral;1035;103502;East Poblacion;Finished;3;individuals;BHCU;Health Referral;3;individuals;8-Jun-2017;8-Jun-2017;June;Region 10
315;ICRC;Health;Referral;Health Referral;1035;103502;East Poblacion;Finished;2;individuals;BHCU;Health Referral;2;individuals;9-Jun-2017;9-Jun-2017;June;Region 10
340;ICRC;Health;Referral;Health Referral;1035;103502;East Poblacion;Finished;4;individuals;BHCU;Health Referral;4;individuals;10-Jun-2017;10-Jun-2017;June;Region 10
394;ICRC;Health;Referral;Health Referral;1035;103502;East Poblacion;Finished;12;individuals;BHCU;Health Referral;12;individuals;12-Jun-2017;12-Jun-2017;June;Region 10
445;ICRC;Health;Referral;Health Referral;1035;103502;East Poblacion;Finished;3;individuals;BHCU;Health Referral;3;individuals;14-Jun-2017;14-Jun-2017;June;Region 10
553;ICRC;Health;Referral;Health Referral;1035;103502;East Poblacion;Finished;4;individuals;BHCU;Health Referral;4;individuals;18-Jun-2017;18-Jun-2017;June;Region 10
586;ICRC;Health;Referral;Health Referral;1035;103502;East Poblacion;Finished;11;individuals;BHCU;Health Referral;11;individuals;19-Jun-2017;19-Jun-2017;June;Region 10
603;ICRC;Health;Referral;Health Referral;1035;103502;East Poblacion;Finished;16;individuals;BHCU;Health Referral;16;individuals;20-Jun-2017;20-Jun-2017;June;Region 10
631;ICRC;Health;Referral;Health Referral;1035;103502;East Poblacion;Finished;9;individuals;BHCU;Health Referral;9;individuals;21-Jun-2017;21-Jun-2017;June;Region 10
670;ICRC;Health;Referral;Health Referral;1035;103502;East Poblacion;Finished;5;individuals;BHCU;Health Referral;5;individuals;22-Jun-2017;22-Jun-2017;June;Region 10
702;ICRC;Health;Referral;Health Referral;1035;103502;East Poblacion;Finished;2;individuals;BHCU;Health Referral;2;individuals;23-Jun-2017;23-Jun-2017;June;Region 10
736;ICRC;Health;Referral;Health Referral;1035;103502;East Poblacion;Finished;1;individual;BHCU;Health Referral;1;individual;24-Jun-2017;24-Jun-2017;June;Region 10
765;ICRC;Health;Referral;Health Referral;1035;103502;East Poblacion;Finished;5;individuals;BHCU;Health Referral;5;individuals;27-Jun-2017;27-Jun-2017;June;Region 10
782;ICRC;Health;Referral;Health Referral;1035;103502;East Poblacion;Finished;2;individuals;BHCU;Health Referral;2;individuals;28-Jun-2017;28-Jun-2017;June;Region 10
